datetime,power_demand
2023-12-12,2938.275
2023-12-13,2933.094375
2023-12-14,2840.7720833333333
2023-12-15,2942.754166666667
2023-12-16,2924.199375
2023-12-17,2861.880416666667
2023-12-18,3021.051041666667
2023-12-19,3048.983125
2023-12-20,3118.447291666667
2023-12-21,3104.3889583333334
2023-12-22,3184.7383333333332
2023-12-23,2979.480833333333
2023-12-24,2863.0177083333333
2023-12-25,2965.782916666667
2023-12-26,3117.1472916666667
2023-12-27,3186.134375
2023-12-28,3186.455
2023-12-29,3324.7764583333333
2023-12-30,3129.2391666666667
2023-12-31,3104.362323717949
2024-01-01,2509.4028846153847
2024-01-02,3565.8770833333333
2024-01-03,3068.507708333333
2024-01-04,3489.971041666666
2024-01-05,4087.7166666666667
2024-01-06,6415.767500000001
2024-01-07,5924.43
2024-01-08,5616.930416666666
2024-01-09,5371.485
2024-01-10,5219.281666666667
2024-01-11,3173.54625
2024-01-12,2787.5002083333334
2024-01-13,3621.984375
2024-01-14,3566.635208333333
2024-01-15,3756.3504166666667
2024-01-16,3840.6552083333336
2024-01-17,3867.5325
2024-01-18,3834.3329166666667
2024-01-19,4025.7925
2024-01-20,3771.692916666667
2024-01-21,3630.05875
2024-01-22,3817.1433333333334
2024-01-23,3803.3291666666664
2024-01-24,3865.6124999999997
2024-01-25,3836.7545833333334
2024-01-26,3259.2016666666664
2024-01-27,3318.8193749999996
2024-01-28,3398.4014583333333
2024-01-29,3451.2864583333335
2024-01-30,3632.5629166666663
2024-01-31,3698.1679166666668
2024-02-01,2469.7000000000003
2024-02-02,3650.49
2024-02-03,2851.6643750000003
2024-02-04,3425.76625
2024-02-05,4112.7579166666665
2024-02-06,6018.225416666667
2024-02-07,6122.747916666667
2024-02-08,5746.690416666667
2024-02-09,5537.284166666667
2024-02-10,4603.234583333334
2024-02-11,3019.60125
2024-02-12,2933.2495833333337
2024-02-13,3180.6595833333336
2024-02-14,3173.64125
2024-02-15,3077.146041666667
2024-02-16,3108.348125
2024-02-17,2897.5508333333332
2024-02-18,2786.6800000000003
2024-02-19,2932.7004166666666
2024-02-20,3017.1962499999995
2024-02-21,3057.6341666666667
2024-02-22,3015.9599999999996
2024-02-23,3078.115416666667
2024-02-24,2892.771458333333
2024-02-25,2877.181875
2024-02-26,2958.1979166666665
2024-02-27,2975.769375
2024-02-28,3025.8758333333335
2024-02-29,3003.6216666666664
2024-03-01,2273.915
2024-03-02,3355.3754166666663
2024-03-03,2818.7566666666667
2024-03-04,3571.784791666667
2024-03-05,4344.946666666667
2024-03-06,6520.655833333333
2024-03-07,5724.211666666666
2024-03-08,5497.482083333333
2024-03-09,5607.778333333333
2024-03-10,5216.626041666666
2024-03-11,3014.0645833333333
2024-03-12,2980.862291666667
2024-03-13,2945.7514583333336
2024-03-14,2931.271875
2024-03-15,2971.8841666666667
2024-03-16,2812.6029166666667
2024-03-17,2699.2810416666666
2024-03-18,2881.3475
2024-03-19,2982.464583333333
2024-03-20,3108.3135416666664
2024-03-21,3020.768541666667
2024-03-22,3166.1922916666667
2024-03-23,3052.7533333333336
2024-03-24,2756.9829166666664
2024-03-25,2301.998125
2024-03-26,2821.3970833333333
2024-03-27,3223.758333333333
2024-03-28,3421.1675
2024-03-29,3500.2291666666665
2024-03-30,3536.977083333333
2024-03-31,3416.255416666667
2024-04-01,2723.495
2024-04-02,3182.0641666666666
2024-04-03,2914.4341666666664
2024-04-04,3709.8937499999997
2024-04-05,4437.612916666667
2024-04-06,6651.708750000001
2024-04-07,5308.0079166666665
2024-04-08,5244.689583333334
2024-04-09,5024.040416666667
2024-04-10,5276.27875
2024-04-11,3104.2666666666664
2024-04-12,3050.8591666666666
2024-04-13,3816.307083333333
2024-04-14,3475.384583333333
2024-04-15,3815.2029166666666
2024-04-16,3952.2327083333334
2024-04-17,3744.7189583333334
2024-04-18,4050.7918750000003
2024-04-19,4326.53
2024-04-20,4174.142083333333
2024-04-21,3974.9249999999997
2024-04-22,4210.60375
2024-04-23,4214.1825
2024-04-24,4184.104166666667
2024-04-25,4366.430416666667
2024-04-26,4527.107083333333
2024-04-27,4393.782291666666
2024-04-28,4159.909375
2024-04-29,4546.150416666666
2024-04-30,4365.310833333334
2024-05-01,3421.215
2024-05-02,3309.3133333333335
2024-05-03,2929.278333333333
2024-05-04,3823.1072916666667
2024-05-05,4469.4643750000005
2024-05-06,6585.422083333334
2024-05-07,5344.84125
2024-05-08,5541.91875
2024-05-09,4922.837083333333
2024-05-10,4695.728958333333
2024-05-11,3381.485
2024-05-12,3008.1691666666666
2024-05-13,5397.86
2024-05-14,5303.016666666666
2024-05-15,5373.2733333333335
2024-05-16,5605.821041666666
2024-05-17,5806.885208333333
2024-05-18,5896.982499999999
2024-05-19,5805.890833333334
2024-05-20,6335.573333333334
2024-05-21,6578.267500000001
2024-05-22,6731.087500000001
2024-05-23,6484.897291666667
2024-05-24,6607.382083333334
2024-05-25,5969.881666666667
2024-05-26,6080.122916666667
2024-05-27,6706.1954166666665
2024-05-28,6719.7225
2024-05-29,6786.075416666667
2024-05-30,6806.130833333334
2024-05-31,6809.989166666666
2024-06-01,5056.51
2024-06-02,3334.5814583333336
2024-06-03,2958.4133333333334
2024-06-04,3636.2845833333336
2024-06-05,4997.535833333333
2024-06-06,6112.259999999999
2024-06-07,5144.3237500000005
2024-06-08,5645.935
2024-06-09,5059.754583333333
2024-06-10,4874.8975
2024-06-11,3392.1474999999996
2024-06-12,3050.88875
2024-06-13,6609.587083333333
2024-06-14,6831.43375
2024-06-15,6565.5391666666665
2024-06-16,6473.870416666668
2024-06-17,6885.25
2024-06-18,7358.590833333333
2024-06-19,7335.15875
2024-06-20,6621.557916666668
2024-06-21,6244.921249999999
2024-06-22,5924.629166666667
2024-06-23,5911.392083333333
2024-06-24,6410.8670833333335
2024-06-25,6403.805416666666
2024-06-26,6512.525416666666
2024-06-27,6005.699166666666
2024-06-28,5294.37875
2024-06-29,5381.162499999999
2024-06-30,5496.220416666667
2024-07-01,3392.680208333333
2024-07-02,3403.7277083333333
2024-07-03,2914.4077083333336
2024-07-04,3413.9220833333334
2024-07-05,5287.1775
2024-07-06,6156.3045833333335
2024-07-07,4779.727916666667
2024-07-08,5432.556250000001
2024-07-09,4763.217083333334
2024-07-10,4908.15375
2024-07-11,3361.7985416666666
2024-07-12,2952.9462500000004
2024-07-13,5440.317916666667
2024-07-14,5465.989166666666
2024-07-15,5903.852083333334
2024-07-16,6242.3
2024-07-17,6279.16
2024-07-18,6187.901666666668
2024-07-19,6198.339166666668
2024-07-20,6026.932916666668
2024-07-21,6049.099583333334
2024-07-22,6160.705833333333
2024-07-23,6144.550416666666
2024-07-24,5934.153958333333
2024-07-25,6037.7266666666665
2024-07-26,6026.673958333333
2024-07-27,5955.447916666667
2024-07-28,5901.381249999999
2024-07-29,6445.599166666667
2024-07-30,6808.8325
2024-07-31,6495.826666666667
2024-08-01,3687.959166666667
2024-08-02,3367.1
2024-08-03,2966.962708333333
2024-08-04,3736.4283333333333
2024-08-05,5456.785416666667
2024-08-06,6001.621666666667
2024-08-07,4974.551666666667
2024-08-08,5344.11
2024-08-09,4577.7283333333335
2024-08-10,4877.830833333333
2024-08-11,3435.6704166666664
2024-08-12,2850.2293750000003
2024-08-13,5084.111041666667
2024-08-14,5312.46875
2024-08-15,4686.693333333334
2024-08-16,5418.485416666666
2024-08-17,5519.4141666666665
2024-08-18,5427.6362500000005
2024-08-19,5363.370833333333
2024-08-20,5260.867916666667
2024-08-21,5436.934583333334
2024-08-22,5759.535416666667
2024-08-23,5384.44
2024-08-24,5269.078333333334
2024-08-25,5063.380833333334
2024-08-26,5171.814166666666
2024-08-27,5303.6327083333335
2024-08-28,5218.229583333333
2024-08-29,4936.854583333333
2024-08-30,5179.613333333334
2024-08-31,5293.126458333333
